Index,Latitude,Longitude,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,24.66818,71.33144,8.475744,8.868568,9.202181,6.02307,10.78837,6.647325,7.387925,5.180296,9.684642,10.68482
1,24.66818,71.41106,24.02978,28.55135,25.86642,21.63446,34.41941,27.36191,40.43185,42.12695,41.51521,41.41894
2,24.66818,71.49069,44.83163,66.11117,56.98226,53.00373,70.91791,42.51712,59.18163,73.20323,91.4969,73.08764
3,24.66818,71.57031,59.97442,80.8213,78.95654,63.16056,93.51392,70.20317,74.53672,101.0674,98.82489,85.8262
4,24.66818,71.64994,14.65337,19.32752,21.92814,17.89959,19.53403,19.16579,16.53131,26.08689,24.39772,24.50597
5,24.66818,71.72956,17.41664,35.811,26.00383,27.34848,29.59927,22.02611,23.59262,41.749,47.80521,43.17771
6,24.66818,71.80919,23.56866,37.37122,38.29855,27.83802,40.77996,32.01487,37.7718,55.00393,55.00061,56.81255
7,24.66818,71.88882,48.34523,91.21584,91.90634,41.12175,57.26641,60.26341,72.29115,29.41161,75.19373,80.19482
8,24.66818,71.96844,58.78428,50.2069,60.70732,37.599,59.46214,38.78831,31.3128,37.49701,61.65502,50.23153
9,24.66818,72.04807,67.90738,68.376,87.02668,54.60224,78.11813,44.79619,36.00815,52.54998,84.77561,64.62091
10,24.66818,72.12769,8.916524,16.67989,21.6188,13.55044,15.40337,7.133225,7.732,9.861409,12.18579,13.63331
11,24.66818,72.20732,3.416374,2.891346,3.826416,3.098782,6.333014,4.840425,4.729421,7.909709,9.000319,7.993685
12,24.66818,72.28694,2.298106,2.165051,1.780242,2.644897,5.368379,4.423479,4.01922,7.005911,6.592672,6.336231
13,24.66818,72.36657,0.405264,0.146914,0.168368,0.251683,0.180468,0.131804,0.170856,0.177587,0.799169,0.320058
14,24.58758,71.25181,0.378064,1.557208,0.267738,0.703204,0.31915,0.268468,0.407948,0.952279,1.276331,0.806962
15,24.58758,71.33144,45.17411,67.93484,58.22631,35.26722,55.58984,34.76857,29.41272,26.50907,53.06479,42.45945
16,24.58758,71.41106,56.53974,83.33338,81.21879,59.40704,85.44016,78.99918,94.71605,85.23766,103.0945,102.761
17,24.58758,71.49069,139.3889,161.7566,149.9848,132.1486,205.1426,130.5792,128.6074,153.9761,153.4401,148.4246
18,24.58758,71.57031,140.026,143.6766,105.6718,105.9449,175.5872,114.8936,119.6864,167.4339,150.957,132.1764
19,24.58758,71.64994,51.76261,91.4644,90.00948,58.49712,83.19334,64.63091,60.41846,89.41933,104.3706,97.47736
20,24.58758,71.72956,61.1773,133.0115,81.56878,79.95116,116.4289,78.07915,82.89323,127.0603,123.695,105.3186
21,24.58758,71.80919,84.54469,124.8479,101.5862,89.92281,140.8546,96.98708,90.87753,126.2838,120.1233,111.5239
22,24.58758,71.88882,99.17361,159.4914,106.4775,91.88571,130.8693,106.9669,116.8996,101.8239,134.5281,121.3724
23,24.58758,71.96844,150.2329,181.6248,151.1967,113.544,160.2637,107.762,109.9925,111.1489,113.6333,115.6385
24,24.58758,72.04807,144.6105,175.1476,146.9934,116.3193,180.7385,121.2385,87.78025,111.8162,112.7586,118.515
25,24.58758,72.12769,45.69967,68.10135,68.45949,46.8399,58.86829,57.55021,77.2105,86.27102,82.06892,76.00522
26,24.58758,72.20732,24.9769,55.40798,63.78117,37.29594,47.14842,37.48083,42.75499,44.64852,53.90257,53.06929
27,24.58758,72.28694,19.92323,43.96218,30.96071,28.95754,42.31677,34.80891,27.09572,41.3194,50.50736,40.19793
28,24.58758,72.36657,6.596181,9.022957,3.975337,4.651711,5.451403,4.558711,3.248904,4.003597,7.853225,6.486407
29,24.50698,71.25181,0.148983,0.442252,0.175578,0.224423,0.201872,0.198033,0.316812,0.241195,0.009361,0.633372
30,24.50698,71.33144,33.44884,35.71368,32.15141,26.3192,40.71194,27.70918,25.03553,29.89869,34.08459,34.03287
31,24.50698,71.41106,65.62122,122.1017,129.0818,68.21734,98.81609,84.30096,87.56411,100.901,125.5701,111.7039
32,24.50698,71.49069,121.0332,177.7386,170.0797,111.8134,164.9773,118.141,150.8133,134.1831,134.1242,128.1607
33,24.50698,71.57031,117.2946,127.3539,130.9737,104.645,144.2931,108.8798,132.354,163.1721,154.2908,134.6333
34,24.50698,71.64994,121.5485,161.6645,166.5552,101.8936,143.0532,87.45466,117.1154,134.4101,129.0583,129.3257
35,24.50698,71.72956,102.3114,169.771,160.1176,89.57715,140.0509,92.1867,98.37118,112.1739,112.5835,124.1211
36,24.50698,71.80919,136.3762,153.392,148.2763,142.3542,203.7337,169.9274,166.2753,155.4946,173.4324,173.6324
37,24.50698,71.88882,141.9011,184.5349,135.4009,137.3055,186.3475,123.8763,131.4789,174.4985,138.093,130.4202
38,24.50698,71.96844,77.37074,107.5506,83.13499,83.85521,105.5417,76.52786,102.0719,112.5465,111.583,101.9076
39,24.50698,72.04807,54.08869,91.4277,61.92598,56.50046,72.70835,61.64721,68.13217,78.1117,96.6087,88.56569
40,24.50698,72.12769,44.49826,56.36858,46.1957,50.21804,59.50357,59.08084,87.15248,86.62328,72.61691,72.87212
41,24.50698,72.20732,53.1354,91.97341,91.34283,64.26483,76.46427,66.40801,98.9558,92.12915,96.91544,100.272
42,24.50698,72.28694,75.98052,136.4321,104.8903,69.30421,101.329,79.23305,89.46037,109.4938,119.2486,106.6724
43,24.50698,72.36657,30.8476,52.83142,24.82988,25.38798,30.57449,22.68787,18.38336,30.97207,39.34062,37.15752
44,24.50698,72.44619,1.716194,2.047751,1.92145,1.577547,2.048264,1.503945,1.929137,4.792347,5.349191,4.853318
45,24.50698,72.60544,0.400732,0.065355,0.041595,0.592069,0.059261,0.102406,0.109721,0.709677,0.492502,0.413029
46,24.50698,72.68507,1.185711,0.290858,0.163014,1.161736,0.208937,0.528839,0.536449,0.413165,-0.13577,0.605718
47,24.42638,71.33144,9.411385,24.29284,35.66773,13.53326,14.89002,16.25582,21.13312,14.09113,24.81026,26.34507
48,24.42638,71.41106,53.48674,117.7024,151.5563,73.11812,72.21617,66.25111,79.66235,98.30971,100.7227,111.2342
49,24.42638,71.49069,67.84522,120.0843,113.4002,87.9753,103.7483,82.30546,121.5448,127.0146,116.8855,117.4007
50,24.42638,71.57031,92.29341,144.783,103.2254,83.80776,119.4125,83.73886,106.9425,129.7624,135.8246,120.5639
51,24.42638,71.64994,107.6716,157.2505,151.2206,92.19436,147.3454,95.59819,78.92515,103.8458,123.509,116.4344
52,24.42638,71.72956,83.22322,150.5226,162.6321,84.53629,122.6788,105.8757,104.6954,107.3855,127.5676,125.6351
53,24.42638,71.80919,99.09132,142.2198,171.1518,116.4434,177.9292,138.4721,134.6973,169.7784,150.9003,142.0315
54,24.42638,71.88882,127.3642,202.5719,162.4059,114.931,180.7794,119.6973,116.9567,157.2994,133.9564,131.8767
55,24.42638,71.96844,134.516,147.631,111.7146,112.1261,166.8238,127.752,122.0452,118.2252,128.7894,126.2896
56,24.42638,72.04807,134.365,151.4026,153.2795,117.8823,169.5634,126.5506,171.2545,158.2337,131.3566,133.6836
57,24.42638,72.12769,73.74103,127.8181,132.7875,79.09367,98.46846,84.92284,134.3496,125.4574,130.6686,136.1579
58,24.42638,72.20732,90.24049,130.0566,105.9844,80.94841,124.8952,101.5775,105.8579,103.5983,130.8608,115.4566
59,24.42638,72.28694,60.56772,71.13934,70.91752,49.94307,80.30314,62.77414,89.86942,86.81984,85.421,83.17719
60,24.42638,72.36657,57.37685,80.09166,66.6888,49.99825,85.70509,61.82359,68.56171,82.80085,83.49829,80.68034
61,24.42638,72.44619,11.39565,11.05321,11.50045,10.94346,18.05771,17.9037,20.1933,15.02862,23.71097,22.36049
62,24.42638,72.52582,4.738158,13.58476,5.365434,4.897317,5.494884,4.158436,9.653676,11.84801,8.935637,6.758138
63,24.42638,72.60544,30.51319,24.9369,16.44616,22.35824,32.88882,13.48714,17.03987,27.44406,25.06667,23.28385
64,24.42638,72.68507,13.23116,12.37281,8.351282,13.30931,11.6448,6.786066,7.286773,10.78947,11.52074,12.22802
65,24.42638,73.00357,2.702457,2.517243,2.162628,2.64345,2.354781,5.998183,5.554096,7.666986,6.344367,7.426426
66,24.42638,73.08319,6.119396,5.49005,4.758146,5.326427,5.659874,7.116559,6.310906,8.807273,10.78025,10.99062
67,24.42638,73.16282,0.38653,0.374552,0.382144,0.341406,0.429923,0.409601,0.384941,0.482097,2.066595,1.389808
68,24.34578,71.25181,0.134469,0.098081,0.045157,0.267339,0.046126,0.210776,0.202269,0.01555,0.211633,0.726342
